,AAPL UW Equity,AXP UN Equity,BA UN Equity,CAT UN Equity,CSCO UW Equity,CVX UN Equity,DIS UN Equity,DWDP UN Equity,GS UN Equity,HD UN Equity,IBM UN Equity,INTC UW Equity,JNJ UN Equity,JPM UN Equity,KO UN Equity,MCD UN Equity,MMM UN Equity,MRK UN Equity,MSFT UW Equity,NKE UN Equity,PFE UN Equity,PG UN Equity,TRV UN Equity,UNH UN Equity,UTX UN Equity,V UN Equity,VZ UN Equity,WBA UW Equity,WMT UN Equity,XOM UN Equity,INDU Index
,Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E)
Dates,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO
7/31/1990,#N/A N/A,#N/A N/A,19.7774,13.7676,25.7576,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,29.1076,16.428,17.1815,22.0841,#N/A N/A,24.3298,#N/A N/A,#N/A N/A,#N/A N/A,28.5408,#N/A N/A,#N/A N/A,19.3229,8.4722,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,30.0239,16.7339,#N/A N/A
8/31/1990,#N/A N/A,#N/A N/A,16.5668,12.1127,25,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,28.789,14.9596,12.8861,20.5206,#N/A N/A,22.6542,#N/A N/A,#N/A N/A,#N/A N/A,26.3948,#N/A N/A,#N/A N/A,17.1511,7.7778,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,27.2727,16.129,#N/A N/A
9/28/1990,7.6923,#N/A N/A,12.5377,13.9901,22.7273,43.0233,14.8538,#N/A N/A,#N/A N/A,25.8144,14.7414,10.9375,18.9485,#N/A N/A,20.4134,#N/A N/A,12.622,#N/A N/A,24.1843,#N/A N/A,#N/A N/A,16.3068,5.8685,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,26.1962,15.8065,#N/A N/A
10/31/1990,8.1565,#N/A N/A,13.4413,13.4934,22.6923,39.7529,14.9153,#N/A N/A,#N/A N/A,23.252,14.5517,11.0197,19.2481,#N/A N/A,23.1266,#N/A N/A,12.9289,#N/A N/A,24.4722,7.7881,#N/A N/A,17.5934,6.0299,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,24.5413,15.8468,#N/A N/A
11/30/1990,9.748,#N/A N/A,13.3283,13.6589,30.3846,40.625,16.3495,#N/A N/A,#N/A N/A,28.2982,15.6552,12.3355,20.8957,#N/A N/A,23.9018,#N/A N/A,13.2971,#N/A N/A,27.7351,8.9803,#N/A N/A,18.5444,7.3944,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,27.6376,16.371,#N/A N/A
12/31/1990,10.5134,25.6618,11.3684,22.5962,34.5192,11.9057,16.6016,#N/A N/A,#N/A N/A,30.7718,10.7517,12.0313,20.9306,#N/A N/A,22.7328,13.2386,13.9623,18.6541,26.0381,10.5921,16.9811,17.8645,7.2711,#N/A N/A,8.1007,#N/A N/A,17.5425,#N/A N/A,27.7523,13.0682,#N/A N/A
1/31/1991,13.5697,28.4444,12.2716,23.9183,33.6207,11.7008,17.6635,#N/A N/A,#N/A N/A,34.5317,12.0718,14.2969,22.3162,#N/A N/A,23.8971,12.9545,13.8198,18.9914,33.9533,12.5658,18.8417,16.3436,7.387,#N/A N/A,8.0372,#N/A N/A,15.866,#N/A N/A,29.0749,12.9419,#N/A N/A
2/28/1991,13.9976,29.8357,11.9913,26.262,32.1839,12.3361,20.1752,#N/A N/A,#N/A N/A,36.1111,12.274,14.9219,23.9571,#N/A N/A,25.6127,14.4318,14.4101,21.1967,35.8997,12.3556,22.0126,16.756,7.6767,#N/A N/A,8.4179,#N/A N/A,16.0295,#N/A N/A,31.1674,13.9205,#N/A N/A
3/29/1991,16.5049,9.5845,11.6337,60.6013,28.0172,12.1855,20.6213,#N/A N/A,#N/A N/A,40,11.8149,13.6696,24.2722,#N/A N/A,25.7109,15.583,14.7597,20.8894,32.6538,11.8421,22.0619,17.4831,7.719,#N/A N/A,9.4912,#N/A N/A,16.9301,#N/A N/A,34.2511,12.4207,#N/A N/A
4/30/1991,13.3495,8.5844,11.2933,60.2848,26.8018,12.1462,19.9288,#N/A N/A,#N/A N/A,42.5926,10.6256,14.4006,23.9241,#N/A N/A,25,14.9664,14.8639,21.3349,30.4615,12.1951,22.4742,17.2263,7.816,#N/A N/A,9.002,#N/A N/A,16.4769,#N/A N/A,34.6154,12.6057,#N/A N/A
